Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Before the Flood,2016,PG,30 Oct 2016,96,"Documentary, News",Fisher Stevens,Mark Monroe,"Leonardo DiCaprio, Ki-moon Ban, Alejandro G. Iñárritu",English,United States,2 wins & 8 nominations,63.0,8.2,"27,561",tt5929776
Best Friends Whenever,2015–2016,TV-G,26 Jun 2015,21,"Comedy, Family, Sci-Fi",NA,"Jed Elinoff, Scott Thomas","Landry Bender, Lauren Taylor, Gus Kamp",English,United States,3 nominations,-1.0,5.8,"1,746",tt4507442
Bizarre Dinosaurs,2009,NA,11 Oct 2009,48,Documentary,Jenny Kubo,Eleanor Grant,"Jack Horner, Paul Sereno, Gregory Erickson, Robert Bakker",English,USA,NA,-1.0,6.7,122,tt1570382
Boat Builders,1938,TV-G,25 Feb 1938,7,"Animation, Short, Comedy",Ben Sharpsteen,Vernon Stallings,"Pinto Colvig, Walt Disney, Marcellite Garner",English,United States,NA,-1.0,7.2,"1,397",tt0029930
Bone Bandit,1948,Approved,30 Apr 1948,7,"Family, Comedy, Animation","Charles A. Nichols, Clyde Geronimi, Jack Kinney","Art Scott, Sterling Sturtevant",Pinto Colvig,English,United States,NA,-1.0,6.3,540,tt0040181
Bonkers,1993–1994,TV-Y,04 Sep 1993,27,"Animation, Short, Action",NA,Jay Lender,"Jim Cummings, Earl Boen, Frank Welker",English,United States,2 nominations,-1.0,6.8,"1,452",tt0213334
Boy Meets World,1993–2000,TV-G,24 Sep 1993,23,"Comedy, Drama, Family",NA,"Michael Jacobs, April Kelly","Ben Savage, Rider Strong, William Daniels",English,United States,6 wins & 17 nominations,-1.0,8.1,"41,806",tt0105958
Breaking2,2017,NA,20 Sep 2017,55,Documentary,Martin Desmond Roe,NA,NA,English,USA,1 nomination.,-1.0,7.2,331,tt7293698
Brink!,1998,TV-G,29 Aug 1998,99,"Drama, Family, Sport",Greg Beeman,Jeff Schechter,"Erik von Detten, Sam Horrigan, Christina Vidal, Robin Riker",English,USA,1 nomination.,-1.0,7.1,"5,748",tt0162212
Brother Bear 2,2006,G,29 Aug 2006,74,"Animation, Adventure, Comedy, Family, Fantasy, Romance",Ben Gluck,"Rich Burns (screenplay), Ben Gluck (additional screenplay)","Patrick Dempsey, Mandy Moore, Jeremy Suarez, Rick Moranis",English,USA,2 nominations.,-1.0,6.2,"15,778",tt0465925
Buffalo Dreams,2005,G,11 Mar 2005,89,Family,David Jackson,Marjorie Schwartz Nielsen,"Reiley McClendon, Simon Baker, George Newbern, Jane Sibbett",English,USA,3 nominations.,-1.0,5.8,480,tt0430932
Burn-E,2008,G,18 Nov 2008,8,"Animation, Short, Adventure",Angus MacLane,"Angus MacLane, Andrew Stanton, Derek Thompson","Angus MacLane, Tessa Swigart, Ben Burtt",English,United States,NA,-1.0,7.6,"11,274",tt1334585
Cadet Kelly,2002,TV-G,08 Mar 2002,101,"Comedy, Drama, Family",Larry Shaw,"Gail Parent, Michael Walsh","Hilary Duff, Christy Carlson Romano, Gary Cole, Shawn Ashmore",English,"USA, Canada",NA,-1.0,5.5,"13,484",tt0294425
Camp Rock,2008,TV-G,20 Jun 2008,94,"Comedy, Family, Music, Musical, Romance",Matthew Diamond,"Karin Gist, Regina Y. Hicks, Julie Brown, Paul Brown","Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera","English, Portuguese",USA,2 wins & 7 nominations.,-1.0,5.2,"31,314",tt1055366
Camp Rock 2: The Final Jam,2010,TV-G,03 Sep 2010,97,"Comedy, Family, Music, Musical, Romance",Paul Hoen,"Dan Berendsen, Karin Gist, Regina Y. Hicks, Karin Gist (characters), Regina Y. Hicks (characters), Julie Brown (characters), Paul Brown (characters)","Demi Lovato, Joe Jonas, Nick Jonas, Kevin Jonas",English,USA,2 wins & 3 nominations.,-1.0,5.2,"17,122",tt1252380
Can of Worms,1999,TV-PG,10 Apr 1999,90,"Comedy, Family, Sci-Fi",Paul Schneider,"Kathy Mackel (teleplay), Kathy Mackel (based on the book by)","Michael Shulman, Erika Christensen, Adam Wylie, Andrew Ducote",English,"USA, Canada",NA,-1.0,5.0,898,tt0186910
Canine Caddy,1941,Approved,30 May 1941,7,"Animation, Short, Comedy",Clyde Geronimi,NA,"Pinto Colvig, Walt Disney",English,United States,NA,-1.0,6.3,757,tt0033448
Chef Donald,1941,Approved,05 Dec 1941,7,"Animation, Short, Comedy",Jack King,"Carl Barks, Jack Hannah","Clarence Nash, Sarah Selby",English,United States,NA,-1.0,7.2,"1,250",tt0033460
Chip 'n' Dale's Rescue Rangers to the Rescue,1989,G,30 Sep 1989,85,"Animation, Adventure, Comedy, Family, Mystery",Alan Zaslove,NA,"Corey Burton, Peter Cullen, Jim Cummings, Tress MacNeille",English,USA,NA,-1.0,7.9,469,tt0200528
Chip an' Dale,1947,Approved,28 Nov 1947,7,"Animation, Short, Comedy",Jack Hannah,"Dick Kinney, Bob North","Dessie Flynn, James MacDonald, Clarence Nash",English,United States,Nominated for 1 Oscar. 1 nomination total,-1.0,7.4,"1,611",tt0039263
Clock Cleaners,1937,Approved,15 Oct 1937,9,"Animation, Short, Comedy",Ben Sharpsteen,"Otto Englander, Roy Williams","Pinto Colvig, Walt Disney, James MacDonald",English,United States,NA,-1.0,7.5,"2,489",tt0028726
Cloud 9,2014,TV-G,17 Jan 2014,85,"Drama, Family, Sport",Paul Hoen,Justin Ware,"Luke Benward, Dove Cameron, Mike Manning, Kiersey Clemons",English,USA,NA,-1.0,6.5,"4,230",tt2762970
Corn Chips,1951,Approved,23 Mar 1951,7,"Family, Animation, Comedy",Jack Hannah,"Bill Berg, Nick George","Dessie Flynn, James MacDonald, Clarence Nash",English,United States,NA,-1.0,7.4,"1,047",tt0043428
Cow Belles,2006,TV-G,24 Mar 2006,90,"Comedy, Family, Romance",Francine McDougall,"Stu Krieger (teleplay by), Matt Dearborn (teleplay by), Matt Dearborn (story)","Aly Michalka, AJ Michalka, Jack Coleman, Sheila McCarthy",English,USA,NA,-1.0,5.2,"6,060",tt0489007
Crash & Bernstein,2012–2014,TV-Y7,08 Oct 2012,30,"Comedy, Family",NA,Eric Friedman,"Cole Jensen, Tim Lagasse, Landry Bender",English,United States,NA,-1.0,5.1,760,tt2273734
Dadnapped,2009,TV-G,16 Feb 2009,84,"Action, Adventure, Comedy, Crime, Family",Paul Hoen,Alan Silberberg,"Emily Osment, David Henrie, Jason Earles, Jonathan Keltz",English,USA,NA,-1.0,4.9,"2,855",tt1090750
Darby O'Gill and the Little People,1959,G,22 Jun 1960,93,"Adventure, Family, Fantasy",Robert Stevenson,"Lawrence Edward Watkin, H.T. Kavanagh","Albert Sharpe, Janet Munro, Sean Connery","English, Irish Gaelic",United States,1 win,80.0,7.1,"7,960",tt0052722
Darkwing Duck,1991–1992,TV-Y7,06 Sep 1991,30,"Animation, Action, Adventure",NA,NA,"Jim Cummings, Terence McGovern, Christine Cavanaugh",English,United States,1 win & 10 nominations,-1.0,7.6,"16,036",tt0101076
Davy Crockett and the River Pirates,1956,Approved,18 Jul 1956,81,"Adventure, Comedy, Drama",Norman Foster,"Thomas W. Blackburn, Norman Foster","Fess Parker, Buddy Ebsen, Jeff York",English,United States,NA,-1.0,6.7,"2,086",tt0049125
Davy Crockett: King of the Wild Frontier,1955,Approved,25 May 1955,93,"Adventure, Drama, Family",Norman Foster,Thomas W. Blackburn,"Fess Parker, Buddy Ebsen, Basil Ruysdael","English, Spanish",United States,NA,-1.0,6.9,"4,171",tt0047977
Day & Night,2010,G,18 Jun 2010,6,"Animation, Short, Comedy",Teddy Newton,"Teddy Newton, Karen Paik","Muneer Lyati, Wayne Dyer",English,United States,Nominated for 1 Oscar. 3 wins & 1 nomination total,-1.0,8.0,"18,401",tt1620446
Decorating Disney: Holiday Magic,2017,NA,18 Dec 2017,42,Reality-TV,NA,Gregory Poppen,"Whoopi Goldberg, Paul-Dean Martin",English,United States,NA,-1.0,6.7,125,tt7775248
Descendants 2,2017,TV-G,21 Jul 2017,111,"Action, Adventure, Family, Fantasy, Romance",Kenny Ortega,"Sara Parriott, Josann McGibbon","Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart",English,USA,3 nominations.,-1.0,6.5,"9,162",tt5117876
Diary of a Wimpy Kid,2010,PG,19 Mar 2010,120,"Comedy, Drama, Family",Thor Freudenthal,"Jackie Filgo, Jeff Filgo, Gabe Sachs","Zachary Gordon, Robert Capron, Rachael Harris","English, German","United States, United Kingdom",5 wins & 9 nominations,56.0,6.2,"48,152",tt1196141
Disney Descendants: School of Secrets,2015–,NA,01 Jul 2015,-1,Fantasy,NA,NA,"Dianne Doan, Chloe Madison, Salina Marie Carter",English,United States,NA,-1.0,6.7,152,tt4849844
Disney Family Sundays,2019–2020,TV-G,12 Nov 2019,8,"Family, Reality-TV",NA,NA,"Stacey Freeman, Pham Viet Dung, Pham Viet Dung",English,United States,NA,-1.0,5.6,38,tt11199552
Disney's Doug,1996–1999,TV-Y,07 Sep 1996,30,"Animation, Comedy, Drama",NA,Jim Jinkins,"Thomas McHugh, Constance Shulman, Doris Belack",English,United States,2 nominations,-1.0,6.6,620,tt0122815
Disneynature: Wings of Life,2011,G,16 Apr 2013,81,"Documentary, Family, News",Louie Schwartzberg,Louie Schwartzberg,Meryl Streep,English,"United States, Panama, Mexico",NA,-1.0,7.4,604,tt1222816
Dog Whisperer with Cesar Millan,2004–2016,TV-G,13 Sep 2004,110,"Family, Reality-TV",NA,NA,"Cesar Millan, Daddy, Paul Dini",English,United States,Nominated for 3 Primetime Emmys. 2 wins & 5 nominations total,-1.0,8.0,"2,731",tt0423642
Don't Look Under the Bed,1999,TV-PG,09 Oct 1999,100,"Family, Fantasy, Horror",Kenneth Johnson,Mark Edward Edens,"Erin Chambers, Ty Hodges, Robin Riker, Steve Valentine",English,USA,1 nomination.,-1.0,6.9,"2,795",tt0208101
Donald's Golf Game,1938,TV-PG,04 Nov 1938,8,"Animation, Short, Comedy",Jack King,"Carl Barks, Jack Hannah, Ted Osborne",Clarence Nash,English,United States,NA,-1.0,6.7,"1,118",tt0030069
Donald's Tire Trouble,1943,NA,29 Jan 1943,7,"Family, Comedy, Animation",Dick Lundy,"Carl Barks, Harry Reeves",Clarence Nash,English,United States,NA,-1.0,6.7,831,tt0035820
Double Teamed,2002,TV-G,18 Jan 2002,93,"Biography, Drama, Family, Sport",Duwayne Dunham,"Douglas Penn (story), John Wierick (story), John Wierick (teleplay)","Poppi Monroe, Annie McElwain, Teal Redmann, Nick Searcy",English,USA,NA,-1.0,6.1,"3,318",tt0281905
"Dr. T, Lone Star Vet",2019–,NA,13 Oct 2019,-1,Reality-TV,NA,NA,"Chris Payne Gilbert, Lauren Thielen, Maryanne Farmer",English,United States,NA,-1.0,8.3,91,tt11151654
DuckTales the Movie: Treasure of the Lost Lamp,1990,G,03 Aug 1990,74,"Animation, Adventure, Comedy",Bob Hathcock,"Alan Burnett, Carl Barks, Ted Osborne","Alan Young, Christopher Lloyd, Terence McGovern",English,"France, United States",1 nomination,-1.0,6.8,"26,475",tt0099472
Dug's Special Mission,2009,TV-PG,10 Nov 2009,5,"Animation, Short, Comedy, Family",Ronnie Del Carmen,Ronnie Del Carmen,"Bob Peterson, Delroy Lindo, Jerome Ranft",English,USA,NA,-1.0,7.0,"5,916",tt1537759
Early to Bed,1941,Approved,11 Jul 1941,8,"Animation, Short, Comedy",Jack King,"Carl Barks, Chuck Couch, Jack Hannah",Clarence Nash,English,United States,NA,-1.0,7.1,"1,074",tt0033568
Earth Live,2017,NA,09 Jul 2017,-1,Documentary,Glenn Weiss,"Lewis Friedman, Ann Slichter, Grant Taylor","Jane Lynch, Phil Keoghan",English,United States,NA,-1.0,5.3,64,tt7008868
Easter Island Unsolved,2018,NA,NA,44,Documentary,Geoffrey Luck,NA,"Mitchell Alapa, Jani Benzou, Peter DeMeo","English, Italian",United Kingdom,NA,-1.0,-1.0,6,tt16411500
Eddie's Million Dollar Cook-Off,2003,TV-G,18 Jul 2003,110,"Comedy, Family, Sport",Paul Hoen,"Jack Jason (story), Rick Bitzelberger (story), Dan Berendsen (story), Dan Berendsen (teleplay)","Taylor Ball, Orlando Brown, Reiley McClendon, Mark L. Taylor",English,USA,NA,-1.0,6.1,"2,632",tt0365149
Emil and the Detectives,1964,Approved,18 Dec 1964,99,"Comedy, Crime, Drama",Peter Tewksbury,"AJ Carothers, Erich Kästner","Walter Slezak, Bryan Russell, Roger Mobley",English,United States,NA,-1.0,6.2,691,tt0058056
Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,NA,20 Sep 2004,151,"Documentary, History, Sci-Fi","Edith Becker, Kevin Burns",Ed Singer,"Robert Clotworthy, Walter Cronkite, George Lucas, Steven Spielberg",English,USA,Nominated for 1 Primetime Emmy. Another 1 win.,-1.0,8.3,"4,388",tt0416716
Encore!,2019–2020,TV-PG,12 Nov 2019,60,"Musical, Reality-TV",NA,NA,"Kristen Bell, Matt Fowler, Adam Wachter",English,United States,1 win & 1 nomination,-1.0,7.7,622,tt7759016
Escape to Witch Mountain,1975,G,21 Mar 1975,97,"Adventure, Family, Fantasy",John Hough,"Robert Malcolm Young, Alexander Key","Eddie Albert, Ray Milland, Donald Pleasence",English,United States,NA,60.0,6.3,"10,208",tt0072951
Even Stevens,2000–2003,TV-G,17 Jun 2000,30,"Comedy, Family",NA,Matt Dearborn,"Shia LaBeouf, Christy Carlson Romano, A.J. Trauth",English,United States,Won 1 BAFTA Film Award6 wins & 20 nominations total,-1.0,7.6,"14,463",tt0206511
Ferdinand the Bull,1938,Approved,25 Nov 1938,8,"Animation, Short, Comedy",Dick Rickard,"Munro Leaf, Robert Lawson, Vernon Stallings","Don Wilson, Walt Disney, Milt Kahl",English,United States,Won 1 Oscar. 1 win total,-1.0,7.2,"3,031",tt0030128
Float,2019,PG,12 Nov 2019,7,"Animation, Short, Drama",Bobby Rubio,Bobby Rubio,"Eli Fucile, Bobby Rubio, Luna Watson",English,United States,NA,-1.0,7.3,"3,627",tt9536846
Flowers and Trees,1932,Approved,30 Jul 1932,8,"Animation, Short, Comedy",Burt Gillett,NA,"Pinto Colvig, Walt Disney, Esther Campbell",English,United States,Won 1 Oscar. 2 wins total,-1.0,7.3,"3,036",tt0022899
Food for Feudin',1950,Approved,11 Aug 1950,7,"Comedy, Family, Animation",Charles A. Nichols,"Milt Schaffer, Dick Kinney","Pinto Colvig, Dessie Flynn, James MacDonald",English,United States,NA,-1.0,6.7,673,tt0042471
Midway Is for the Birds,2001,NA,NA,19,"Short, War",Fred Heiman,Fred Heiman,"Peggy Heiman, Ken Neithammer",English,United States,NA,-1.0,-1.0,-1,tt4685382
Frank and Ollie,1995,PG,20 Oct 1995,89,Documentary,Theodore Thomas,Theodore Thomas,"Frank Thomas, Ollie Johnston, Sylvia Roemer",English,United States,1 win,-1.0,7.7,904,tt0113104
Free Solo,2018,PG-13,13 Dec 2018,100,"Documentary, Adventure, Sport","Jimmy Chin, Elizabeth Chai Vasarhelyi",NA,"Alex Honnold, Tommy Caldwell, Jimmy Chin",English,United States,Won 1 Oscar. 30 wins & 55 nominations total,83.0,8.1,"64,561",tt7775622
Frenemies,2012,TV-G,13 Jan 2012,87,"Comedy, Drama, Family",Daisy von Scherler Mayer,"Alexa Young (based on a novel by), Dava Savel (teleplay by), Dava Savel (television story by), Wendy Weiner (teleplay by), Dava Savel (teleplay by), James Krieg (teleplay by), James Krieg (television story by)","Bella Thorne, Zendaya, Mary Mouser, Nick Robinson",English,USA,3 nominations.,-1.0,5.1,"4,356",tt1865368
Full-Court Miracle,2003,TV-G,21 Nov 2003,90,"Drama, Family, Sport",Stuart Gillard,"Joel Silverman, Joel Kauffmann, Donald C. Yost","Alex D. Linz, Richard T. Jones, R.H. Thomson, Sean Marquette",English,USA,4 nominations.,-1.0,5.8,926,tt0382142
Fun and Fancy Free,1947,Approved,12 Mar 1948,73,"Animation, Adventure, Comedy","Jack Kinney, Hamilton Luske, William Morgan","Homer Brightman, Harry Reeves, Ted Sears","Edgar Bergen, Dinah Shore, Luana Patten",English,United States,NA,66.0,6.5,"8,150",tt0039404
Fuzzbucket,1986,NA,18 May 1986,46,"Adventure, Comedy, Family",Mick Garris,Mick Garris,"Chris Hebert, Phil Fondacaro, Joe Regalbuto, Wendy Phillips",English,USA,1 nomination.,-1.0,7.6,155,tt0286639
Gargoyles,1994–1996,TV-Y7,24 Oct 1994,30,"Animation, Action, Adventure",NA,Greg Weisman,"Keith David, Salli Richardson-Whitfield, Jeff Bennett",English,"United States, Canada",1 win & 12 nominations,-1.0,8.1,"16,041",tt0108783
Geek Charming,2011,TV-G,11 Nov 2011,94,"Comedy, Drama, Family, Romance",Jeffrey Hornaday,"Robin Palmer (based on the novel by), Elizabeth Hackett (teleplay by), Hilary Galanoy (teleplay by)","Sarah Hyland, Matt Prokop, Sasha Pieterse, Jordan Nichols",English,USA,1 nomination.,-1.0,6.4,"11,674",tt1835977
Genius,1999,TV-G,21 Aug 1999,82,"Comedy, Family, Romance, Sci-Fi",Rod Daniel,"John Rieck (story), John Rieck (teleplay), Jim Lincoln (teleplay), Dan Studney (teleplay)","Trevor Morgan, Emmy Rossum, Charles Fleischer, Yannick Bisson",English,USA,2 nominations.,-1.0,6.2,"1,760",tt0193187
Geri's Game,1997,G,25 Nov 1997,5,"Animation, Short, Family",Jan Pinkava,Jan Pinkava,Bob Peterson,None,United States,Won 1 Oscar. 9 wins & 1 nomination total,-1.0,7.9,"24,665",tt0131409
Get a Clue,2002,TV-G,20 Jul 2002,83,"Comedy, Crime, Family, Mystery",Maggie Greenwald,Alana Sanko,"Lindsay Lohan, Bug Hall, Ian Gomez, Brenda Song",English,USA,NA,-1.0,5.1,"6,074",tt0282521
Giants of the Deep Blue,2018,NA,NA,-1,"Short, Documentary",NA,NA,NA,English,NA,NA,-1.0,-1.0,-1,tt14277172
Go Figure,2005,TV-G,10 Jun 2005,88,"Action, Comedy, Drama, Family, Romance, Sport",Francine McDougall,"Patrick J. Clifton, Beth Rigazio","Jordan Danger, Whitney Sloan, Cristine Rose, Ryan Malgarini",English,USA,1 nomination.,-1.0,5.7,"3,448",tt0447987
Going to the Mat,2004,G,19 Mar 2004,120,"Drama, Family, Sport",Stuart Gillard,"Chris Nolan (story), Laurie Nolan (story), Chris Nolan (teleplay), Laurie Nolan (teleplay), Steve Bloom (teleplay), Stu Krieger (teleplay)","Andrew Lawrence, Khleo Thomas, Alessandra Torresani, Wayne Brady",English,USA,1 win & 3 nominations.,-1.0,6.9,"1,305",tt0399104
"Good Luck Charlie, It's Christmas!",2011,TV-G,02 Dec 2011,90,"Comedy, Drama, Family",Arlene Sanford,"Phil Baker (creator), Drew Vaupen (creator), Geoff Rodkey","Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico","English, Korean",USA,NA,-1.0,6.4,"5,342",tt1828976
Goof Troop,1992–1993,TV-Y,05 Sep 1992,30,"Animation, Adventure, Comedy",NA,NA,"Rob Paulsen, April Winchell, Jim Cummings",English,United States,1 win & 2 nominations,-1.0,6.8,"8,525",tt0103428
Gotta Kick It Up!,2002,TV-G,26 Jul 2002,78,"Comedy, Drama, Family",Ramón Menéndez,"Meghan Cole (story), Nancy De Los Santos (story), Nancy De Los Santos (teleplay), Ramón Menéndez (teleplay), Tom Musca (teleplay), Stu Krieger (teleplay)","Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez",English,USA,2 nominations.,-1.0,5.8,"1,694",tt0299943
Grand Canyonscope,1954,Approved,23 Dec 1954,7,"Family, Comedy, Animation",Charles A. Nichols,"Milt Schaffer, Nick George","James MacDonald, Clarence Nash, Bill Thompson",English,United States,NA,-1.0,6.9,640,tt0047043
The Grasshopper and the Ants,1934,Approved,10 Feb 1934,8,"Animation, Short, Comedy",Wilfred Jackson,"Aesop, Pinto Colvig, William Cottrell","Dorothy Compton, Pinto Colvig",English,United States,NA,-1.0,7.3,"1,678",tt0025200
Great Migrations,2010–,TV-PG,07 Nov 2010,45,Documentary,NA,NA,"Tarkan, Alec Baldwin, Stephen Fry",English,United States,3 wins & 1 nomination,-1.0,8.1,814,tt1769803
Greyfriars Bobby: The True Story of a Dog,1961,Approved,17 Jul 1961,87,"Drama, Family",Don Chaffey,"Robert Westerby, Eleanor Atkinson","Donald Crisp, Laurence Naismith, Alex Mackenzie",English,United States,NA,-1.0,7.3,"1,560",tt0054944
Gus,1976,G,07 Jul 1976,96,"Comedy, Family, Sport",Vincent McEveety,"Ted Key, Arthur Alsberg, Don Nelson","Edward Asner, Don Knotts, Gary Grimes",English,United States,NA,52.0,5.7,"1,897",tt0074599
Halloweentown,1998,TV-G,17 Oct 1998,84,"Adventure, Comedy, Family, Fantasy",Duwayne Dunham,"Paul Bernbaum (story), Paul Bernbaum (teleplay), Jon Cooksey (teleplay), Ali Marie Matheson (teleplay)","Debbie Reynolds, Kimberly J. Brown, Judith Hoag, Joey Zimmerman",English,USA,2 nominations.,-1.0,6.7,"14,459",tt0173886
Halloweentown High,2004,TV-G,08 Oct 2004,82,"Comedy, Family, Fantasy",Mark A.Z. Dippé,"Paul Bernbaum (characters), Dan Berendsen (teleplay)","Kimberly J. Brown, Debbie Reynolds, Judith Hoag, Joey Zimmerman",English,USA,NA,-1.0,6.2,"6,355",tt0414078
Halloweentown II: Kalabar's Revenge,2001,TV-PG,12 Oct 2001,81,"Adventure, Family, Fantasy",Mary Lambert,"Jon Cooksey, Ali Marie Matheson, Paul Bernbaum (based on characters created by)","Kimberly J. Brown, Judith Hoag, Daniel Kountz, Joey Zimmerman",English,USA,2 nominations.,-1.0,6.4,"7,703",tt0274761
Handy Manny,2006–2013,TV-Y,16 Sep 2006,24,"Animation, Comedy, Family",NA,"Roger Bollen, Marilyn Sadler, Richard Gitelson","Wilmer Valderrama, Dee Bradley Baker, Nancy Truman","English, Spanish","United States, Canada",8 wins & 1 nomination,-1.0,5.6,"1,921",tt0451460
Hannah Montana: The Movie,2009,G,10 Apr 2009,102,"Comedy, Drama, Family",Peter Chelsom,"Dan Berendsen, Michael Poryes, Richard Correll","Miley Cyrus, Emily Osment, Billy Ray Cyrus",English,United States,6 wins & 10 nominations,47.0,4.5,"41,988",tt1114677
Hatching Pete,2009,TV-G,24 Apr 2009,90,"Comedy, Family",Stuart Gillard,Paul W. Cooper,"Jason Dolley, Mitchel Musso, Tiffany Thornton, Josie Loren",English,USA,1 nomination.,-1.0,5.4,"2,550",tt1222818
Hawaiian Holiday,1937,Passed,24 Sep 1937,8,"Animation, Short, Comedy",Ben Sharpsteen,Vernon Stallings,"Pinto Colvig, Walt Disney, Marcellite Garner",English,United States,NA,-1.0,7.0,"1,442",tt0028981
Herbie Goes Bananas,1980,G,25 Jun 1980,100,"Adventure, Comedy, Family",Vincent McEveety,"Don Tait, Gordon Buford","Charles Martin Smith, Stephen W. Burns, Cloris Leachman","English, Spanish",United States,2 nominations,55.0,5.0,"5,661",tt0080861
Herbie Rides Again,1974,G,06 Jun 1974,88,"Comedy, Family, Fantasy",Robert Stevenson,"Bill Walsh, Gordon Buford","Helen Hayes, Ken Berry, Stefanie Powers",English,United States,1 nomination,49.0,5.7,"7,981",tt0071607
High School Musical,2006,TV-G,20 Jan 2006,98,"Comedy, Drama, Family, Music, Musical, Romance",Kenny Ortega,Peter Barsocchini,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel","English, Spanish",USA,Won 2 Primetime Emmys. Another 8 wins & 18 nominations.,-1.0,5.5,"82,812",tt0475293
High School Musical 2,2007,TV-G,17 Aug 2007,104,"Comedy, Drama, Family, Music, Musical, Romance",Kenny Ortega,"Peter Barsocchini (based on characters created by), Peter Barsocchini","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",English,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,-1.0,5.1,"56,690",tt0810900
High School Musical: The Musical - The Series,2019–,TV-PG,12 Nov 2019,31,"Comedy, Drama, Musical",NA,Tim Federle,"Olivia Rodrigo, Joshua Bassett, Matt Cornett",English,United States,1 win & 9 nominations,-1.0,7.2,"6,237",tt8510382
"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89,"Adventure, Comedy, Family",Randal Kleiser,"Stuart Gordon, Brian Yuzna, Ed Naha","Rick Moranis, Marcia Strassman, Robert Oliveri",English,United States,10 nominations,50.0,4.8,"43,733",tt0104437
"Honey, We Shrunk Ourselves!",1997,PG,18 Mar 1997,74,"Action, Adventure, Comedy, Family, Sci-Fi",Dean Cundey,"Stuart Gordon (based on characters created by), Brian Yuzna (based on characters created by), Ed Naha (based on characters created by), Karey Kirkpatrick, Nell Scovell, Joel Hodgson","Rick Moranis, Eve Gordon, Bug Hall, Robin Bartlett",English,USA,NA,-1.0,5.0,"14,057",tt0119310
Horse Sense,1999,TV-G,20 Nov 1999,92,"Drama, Family",Greg Beeman,"Chad Hayes, Carey W. Hayes","Joey Lawrence, Andrew Lawrence, Susan Walters, M.C. Gainey",English,USA,1 nomination.,-1.0,6.2,"1,707",tt0219813
Hostile Planet,2019,NA,01 Apr 2019,47,Documentary,NA,NA,Bear Grylls,English,United States,Nominated for 3 Primetime Emmys. 4 nominations total,-1.0,8.3,706,tt8390274
Hounded,2001,TV-G,01 Apr 2001,91,"Comedy, Drama, Family",Neal Israel,"Don Calame, Chris Conroy","Tahj Mowry, Craig Kirkwood, Shia LaBeouf, Ed Begley Jr.",English,USA,NA,-1.0,5.0,954,tt0274557
How Dogs Got Their Shapes,2016,NA,17 Apr 2016,44,Documentary,Keith Haskel,"Keith Haskel, Stan Hsue (developed by), Timothy Kuryak (developed by), Joseph Stanton (developed by)",NA,English,USA,NA,-1.0,6.8,91,tt5648768
How to Build a Better Boy,2014,TV-G,15 Aug 2014,90,"Comedy, Family, Sci-Fi",Paul Hoen,Jason Mayland,"China Anne McClain, Kelli Berglund, Marshall Williams, Matt Shively","English, French",USA,2 nominations.,-1.0,5.4,"2,832",tt3098874
How to Fish,1942,Approved,04 Dec 1942,7,"Comedy, Family, Animation",Jack Kinney,NA,John McLeish,English,United States,NA,-1.0,6.8,"1,082",tt0034873
How to Swim,1942,Approved,23 Oct 1942,8,"Animation, Short, Comedy",Jack Kinney,"Webb Smith, Ralph Wright",John McLeish,English,United States,NA,-1.0,7.0,"1,051",tt0034875
I'll Be Home for Christmas,1998,PG,13 Nov 1998,86,"Comedy, Family",Arlene Sanford,"Tom Nursall, Harris Goldberg, Michael Allin","Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna",English,"United States, Canada",NA,-1.0,5.5,"10,550",tt0155753
Ice Age: The Great Egg-Scapade,2016,TV-G,20 Mar 2016,25,"Animation, Short, Adventure, Comedy, Family","Paul Stodolny, Ricardo Curtis, Steve Martino, Mike Thurmeier",Jim Hecht,"Blake Anderson, Tyree Brown, David Cowgill, Jennifer Elrod",English,USA,NA,-1.0,5.9,"3,186",tt5480340
Inner Workings,2016,G,23 Nov 2016,6,"Animation, Short, Adventure",Leonardo Matsuda,Leonardo Matsuda,"Tucker Gilmore, Raymond S. Persi",English,United States,1 win,-1.0,7.7,"4,621",tt5807512
Inspector Gadget 2,2003,G,11 Mar 2003,89,"Action, Comedy, Crime, Family, Sci-Fi",Alex Zamm,"Andy Heyward (characters), Jean Chalopin (characters), Bruno Bianchi (characters), Ron Anderson, William Robertson, Alex Zamm","French Stewart, Elaine Hendrix, Tony Martin, Caitlin Wachs",English,"USA, Australia",4 nominations.,-1.0,3.5,"5,882",tt0301454
