Character,Original voice actor,Animated debut
Natalie Certain,Kerry Washington[27],Cars 3
Needleman and Smitty,Dan Gerson[3],"Monsters, Inc."
Nemo,Alexander Gould[13],Finding Nemo
Neptuna,Jane Lynch[29],Small Fry
Nervous Sys-Tim,Kitt Hirasaki[29],Small Fry
Nigel,Geoffrey Rush[13],Finding Nemo
Omar Harris,None[4],Monsters University
Omega,Josh Cooley[6],Up
Otis,Jeff Garlin[5],Cars 2
PCA-R,None[17],WALL-E
Papá Rivera,Jaime Camil[24],Coco
Paul,Daveed Diggs[1],Soul
Peach,Allison Janney[13][20],Finding Nemo
Peas-in-a-Pod,Charlie BrightAmber KronerBrianna Malwand[12],Toy Story 3
PEET-E,None[17],WALL-E
Percy Boleslaw,Jess Harnell[4],Monsters University
"Peter ""Claws"" Ward",Joe Ranft[3],"Monsters, Inc."
Ping,Lillian Lim[2],Turning Red
Pizza Bot,Jason Topolski[29],Small Fry
Poppa Henry,Jeffrey Wright[16],The Good Dinosaur
POW-R,None[17],WALL-E
PR-T,Lori Richardson[17],WALL-E
PRL-S,None[17],WALL-E
Presto DiGiotagione,Doug Sweetland[9],Presto
Princess Atta,Julia Louis-Dreyfus[32],A Bug's Life
Princess Dot,Hayden Panettiere[32],A Bug's Life
Priya,Maitreyi Ramakrishnan[2],Turning Red
Professor Knight,Alfred Molina[4],Monsters University
Professor Zündapp,Thomas Kretschmann[5],Cars 2
P.T. Flea,John Ratzenberger[32],A Bug's Life
"Queen, The",Phyllis Diller[32],A Bug's Life
The Queen of England,Vanessa Redgrave[5],Cars 2
Ramone,Cheech Marin[5][28],Cars
Ramsey,Anna Paquin[16],The Good Dinosaur
Randall Boggs,Steve Buscemi[3][4],"Monsters, Inc."
RC,None[11],Toy Story
Recycle Ben,Peter Sohn[29],Small Fry
Red,Joe Ranft[28],Cars
Red,None[37],Red's Dream
Referee,Bill Hader[4],Monsters University
REM-E,None[17],WALL-E
REM-O,None[17],WALL-E
Remy,Patton Oswalt[10],Ratatouille
Rex,Wallace Shawn[7][11][12],Toy Story
Rhonda Boyd,None[4],Monsters University
Rick Dicker,Bud Luckey[23],The Incredibles
Ricky Plesuski,None[3],"Monsters, Inc."
Riley Anderson,Kaitlyn Dias[15],Inside Out
Riley's Dad,Kyle MacLachlan[15],Inside Out
Riley's Mom,Diane Lane[15],Inside Out
River Scott,Isiah Whitlock Jr.[27],Cars 3
Robaire,Jordan Fisher[2],Turning Red
Robot,Jeff Pidgeon[11],Toy Story
Rocky Gibraltar,Jack Angel[11],Toy Story
"Rod ""Torque"" Redline",Bruce Campbell[5],Cars 2
Roller Bob,None[11],Toy Story
Rosie,Bonnie Hunt[32],A Bug's Life
Rosie Levin,None[4],Monsters University
Rosita Rivera,Selene Luna[24],Coco
Roxy Boxy,Emily Forbes[29],Small Fry
"Roy ""Big Red"" O'Growlahan",John Cygan[4],Monsters University
Roz,Bob Peterson[3][4],"Monsters, Inc."
Rudder,Dominic West[20],Finding Dory
Russell,Jordan Nagai[6],Up
Rusty,Tom Magliozzi[28],Cars
Sadness,Phyllis Smith[15],Inside Out
Sally Carrera,Bonnie Hunt[5][28],Cars
Sanjay,Brent Schraff[40],Sanjay's Super Team
Sarge,Paul Dooley[5][28],Cars
Sarge,R. Lee Ermey[7][11][12],Toy Story
SAUT-A,None[17],WALL-E
"Scott ""Squishy"" Squibbles",Peter Sohn[4],Monsters University
SCRDA-R,None[17],WALL-E
SECUR-T,Teddy Newton[17],WALL-E
"Shelby Forthright, BnL CEO",Fred Willard[17],WALL-E
Sheriff,Michael Wallis[5][28],Cars
Sheriff Woody,Tom Hanks[7][11][12],Toy Story
Sherri Squibbles,Julia Sweeney[4],Monsters University
Sid Phillips,Erik von Detten[11][12],Toy Story
Siddeley,Jason Isaacs[5],Cars 2
Skinner,Ian Holm[10],Ratatouille
Slim,David Hyde Pierce[32],A Bug's Life
Slinky Dog,Jim Varney[7][11]Blake Clark[12],Toy Story
Slug,Bill Hader[4],Monsters University
Smokey,Chris Cooper[27],Cars 3
Snake,None[11],Toy Story
Sonia Lewis,None[4],Monsters University
Sox,Peter Sohn,Lightyear
Sparks,Jan Rabson[12],Toy Story 3
Specter,Lena Waithe[18],Onward
Spot,Jack Bright[16],The Good Dinosaur
SPR-A,None[17],WALL-E
Squirt,Nicholas Bird[13]Bennett Dammann[20],Finding Nemo
