Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Red Tails,2012,PG-13,20 Jan 2012,125,Anthony Hemingway,John Ridley| Aaron McGruder| John B. Holway,Cuba Gooding Jr.| Gerald McRaney| David Oyelowo,English|Italian|German,United States,2 wins & 9 nominations,46.0,5.9,35272,tt0485985,Action|Adventure|Drama|War
Us Again,2021,G,05 Mar 2021,7,Zach Parrish,Zach Parrish,,English,United States,3 wins,-1.0,7.8,6283,tt14062858,Animation|Short|Drama
Dinner is Served,2021,G,23 Mar 2021,-1,Willy Adkins,Willy Adkins,Tank Hurley| Native Rose,English,United States,,-1.0,-1.0,-1,tt14310950,Short|Horror
Growing Fangs,2021,G,13 Aug 2021,18,Ann Marie Pace,Ann Marie Pace,Cristela Alonzo| Sean Burgos| Nicole Goosby,Spanish|English,United States,1 nomination,-1.0,-1.0,43,tt15090776,Short
Ice Road Rescue,2015,G,31 Aug 2015,45,,,Thord Paulsen| David Wartnaby| Bjørn Lægreid,,United Kingdom,,-1.0,8.0,239,tt5270356,Documentary|Reality-TV
Tinker Bell and the Legend of the NeverBeast,2014,G,03 Mar 2015,76,Steve Loter,Steve Loter (story)| Tom Rogers (story)| Tom Rogers (screenplay)| Bob Schooley (screenplay)| Mark McCorkle (screenplay)| Kate Kondell (screenplay),Ginnifer Goodwin| Mae Whitman| Rosario Dawson| Lucy Liu,English,USA,1 win & 1 nomination.,52.0,7.2,7851,tt3120408,Animation|Adventure|Family|Fantasy
Schoolhouse Rock!,1973,TV-Y,06 Jan 1973,3,,,Bob Dorough| Jack Sheldon| Lynn Ahrens,English,United States,4 wins & 4 nominations,-1.0,8.1,3854,tt0069627,Animation|Short|Family
Race to the Center of the Earth,2021,TV-14,29 Mar 2021,-1,,,Chris Payne Gilbert| David Bacon| Jeremy Conkling,English,United States,,-1.0,6.3,191,tt10370752,Adventure|Game-Show|Reality-TV
Special Agent Oso,2009,TV-Y,04 Apr 2009,23,,Ford Riley,Meghan Strange| Gary Anthony Williams| Sean Astin,English,United States| United Kingdom| South Korea,3 nominations,-1.0,5.3,588,tt1124354,Animation|Action|Adventure
X-Men: The Last Stand,2006,PG-13,26 May 2006,104,Brett Ratner,Simon Kinberg| Zak Penn,Patrick Stewart| Hugh Jackman| Halle Berry,English,United States| United Kingdom| Canada,7 wins & 40 nominations,58.0,6.7,506045,tt0376994,Action|Adventure|Sci-Fi
The Incredible Hulk,1996,TV-Y7,08 Sep 1996,20,,Jack Kirby| Stan Lee,Lou Ferrigno| Neal McDonough| John Vernon,English,United States,1 win,-1.0,6.8,3254,tt0115215,Animation|Action|Adventure
Wander Over Yonder,2013,TV-Y7,13 Sep 2013,30,,Craig McCracken,Jack McBrayer| April Winchell| Keith Ferguson,English,Ireland| Canada| United States,Won 1 Primetime Emmy. 4 wins & 15 nominations total,-1.0,7.4,4157,tt2252938,Animation|Adventure|Comedy
Star Wars Biomes,2021,G,04 May 2021,18,,,,English,United States,,-1.0,6.5,638,tt14578676,Short|Sci-Fi
Star Wars Vehicle Flythroughs,2021,G,04 May 2021,-1,,,,English,United States,,-1.0,6.3,296,tt14578626,Sci-Fi
Star Wars: The Bad Batch,2021,TV-PG,04 May 2021,-1,,Jennifer Corbett| Dave Filoni,Ming-Na Wen| Dee Bradley Baker| Michelle Ang,English,United States,1 nomination,-1.0,7.9,26117,tt12708542,Animation|Action|Adventure
Spider-Man: The Animated Series,1994,TV-Y,19 Nov 1994,23,,Stan Lee| Steve Ditko,Christopher Daniel Barnes| Sara Ballantine| Edward Asner,English,United States,4 nominations,-1.0,8.4,30547,tt0112175,Animation|Action|Adventure
22 vs Earth,2021,G,30 Apr 2021,9,Kevin Nolting,Josh Cooley,Tina Fey| Richard Ayoade| Alice Braga,English,United States,,-1.0,6.5,3877,tt14499632,Animation|Short|Adventure
DuckTales,2017,TV-Y,12 Aug 2017,21,,Francisco Angones| Matt Youngberg,David Tennant| Ben Schwartz| Danny Pudi,English,United States,2 wins & 21 nominations,-1.0,8.2,9203,tt5531466,Animation|Action|Adventure
The Oklahoma Woman,1956,G,15 Jun 1956,73,Roger Corman,Lou Rusoff,Richard Denning| Peggie Castle| Cathy Downs,English,United States,,-1.0,4.2,84,tt0049570,Action|Drama|Western
Baby's Day Out,1994,PG,01 Jul 1994,99,Patrick Read Johnson,John Hughes,Lara Flynn Boyle| Joe Mantegna| Joe Pantoliano,English,United States,,-1.0,6.2,49963,tt0109190,Adventure|Comedy|Crime
Being the Queen,2020,G,22 Nov 2020,-1,Tom Jennings,Tobiah Black (Writer)| Laura Verklan (Writer),Queen Elizabeth II| Prince Philip| Prince Charles| Princess Diana,English,USA,,-1.0,6.3,29,tt13237134,Documentary
