Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
Adventures in Babysitting,1987,PG-13,03 Jul 1987,102.0,Adventure|Comedy|Crime,Adventure|Comedy|Crime,DavidSimkins,ElisabethShue|MaiaBrewton|KeithCoogan,English,UnitedStates,2 wins & 4 nominations,45.0,6.9,42846,tt0092513,33790923.0,80601464.0,2133.0,Adventures in Babysitting (1987),Adventure|Comedy|Crime,Adventures in Babysitting,1987.0
African Cats,2011,G,22 Apr 2011,89.0,Documentary|Adventure,Documentary|Adventure,KeithScholey|JohnTruby|OwenNewman,SamuelL.Jackson|PatrickStewart,English,UnitedStates,3 nominations,61.0,7.5,6446,tt1223236,15428747.0,18586050.0,86593.0,African Cats (2011),Adventure|Documentary,African Cats,2011.0
Air Bud,1997,PG,01 Aug 1997,98.0,Comedy|Drama|Family,Comedy|Drama|Family,KevinDiCicco|PaulTamasy|AaronMendelsohn,MichaelJeter|KevinZegers|WendyMakkena,English,UnitedStates|Canada,4 wins & 3 nominations,-1.0,5.3,17690,tt0118570,24646936.0,41611091.0,1592.0,Air Bud (1997),Comedy|Drama|Family,Air Bud,1997.0
Aladdin,1992,G,25 Nov 1992,90.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RonClements|JohnMusker|TedElliott,ScottWeinger|RobinWilliams|LindaLarkin,English,UnitedStates,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.1,398646,tt0103639,217350219.0,419781816.0,588.0,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,Aladdin,1992.0
Aladdin,1992,G,25 Nov 1992,90.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RonClements|JohnMusker|TedElliott,ScottWeinger|RobinWilliams|LindaLarkin,English,UnitedStates,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.1,398646,tt0103639,217350219.0,419781816.0,114240.0,Aladdin (1992),Adventure|Animation|Children|Comedy|Fantasy,Aladdin,1992.0
Aladdin,1992,G,25 Nov 1992,90.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RonClements|JohnMusker|TedElliott,ScottWeinger|RobinWilliams|LindaLarkin,English,UnitedStates,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.1,398646,tt0103639,355559216.0,376856024.0,588.0,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,Aladdin,1992.0
Aladdin,1992,G,25 Nov 1992,90.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RonClements|JohnMusker|TedElliott,ScottWeinger|RobinWilliams|LindaLarkin,English,UnitedStates,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.1,398646,tt0103639,355559216.0,376856024.0,114240.0,Aladdin (1992),Adventure|Animation|Children|Comedy|Fantasy,Aladdin,1992.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,10 Oct 2014,81.0,Comedy|Drama|Family,Comedy|Drama|Family,RobLieber|JudithViorst,SteveCarell|JenniferGarner|EdOxenbould,English,UnitedStates,1 win & 8 nominations,54.0,6.2,43628,tt1698641,66954149.0,76636277.0,115381.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)",Comedy|Drama|Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0
Alice Through the Looking Glass,2016,PG,27 May 2016,113.0,Adventure|Family|Fantasy,Adventure|Family|Fantasy,LindaWoolverton|LewisCarroll,MiaWasikowska|JohnnyDepp|HelenaBonhamCarter,English,UnitedStates,4 wins & 20 nominations,34.0,6.2,103895,tt2567026,77042381.0,86981521.0,158813.0,Alice Through the Looking Glass (2016),Adventure|Children|Fantasy,Alice Through the Looking Glass,2016.0
Alice in Wonderland,2010,PG,05 Mar 2010,108.0,Adventure|Family|Fantasy,Adventure|Family|Fantasy,LindaWoolverton|LewisCarroll,MiaWasikowska|JohnnyDepp|HelenaBonhamCarter,English,UnitedStates,Won 2 Oscars. 35 wins & 63 nominations total,53.0,6.4,403595,tt1014759,334191110.0,415286738.0,74789.0,Alice in Wonderland (2010),Adventure|Family|Fantasy,Alice in Wonderland,2010.0
