Unnamed: 0,Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
469,The Muppets,2011,PG,23 Nov 2011,103,Won 1 Oscar. 17 wins & 43 nominations total,75,7.1,"91,187",tt1204342
470,War Horse,2011,PG-13,25 Dec 2011,146,Nominated for 6 Oscars. 15 wins & 77 nominations total,72,7.2,"154,481",tt1568911
471,John Carter,2012,PG-13,09 Mar 2012,132,2 wins & 8 nominations,51,6.6,"266,927",tt0401729
472,Chimpanzee,2012,G,20 Apr 2012,78,2 nominations,57,7.2,"6,125",tt1222815
473,The Avengers,2012,PG-13,04 May 2012,143,Nominated for 1 Oscar. 38 wins & 80 nominations total,69,8.1,"1,345,654",tt0848228
474,Brave,2012,PG,22 Jun 2012,93,Won 1 Oscar. 20 wins & 48 nominations total,69,7.1,"398,727",tt1217209
475,People Like Us,2012,PG-13,29 Jun 2012,114,,49,7.0,"42,811",tt1716777
476,The Odd Life of Timothy Green,2012,PG,15 Aug 2012,105,1 win & 8 nominations,47,6.6,"46,536",tt1462769
477,Frankenweenie,2012,PG,05 Oct 2012,87,Nominated for 1 Oscar. 11 wins & 50 nominations total,74,6.9,"104,707",tt1142977
478,Wreck-It Ralph,2012,PG,02 Nov 2012,101,Nominated for 1 Oscar. 33 wins & 42 nominations total,72,7.7,"406,874",tt1772341
479,Lincoln,2012,PG-13,16 Nov 2012,150,Won 2 Oscars. 107 wins & 252 nominations total,86,7.3,"256,757",tt0443272
480,Oz the Great and Powerful,2013,PG,08 Mar 2013,130,6 wins & 31 nominations,44,6.3,"205,616",tt1623205
481,Iron Man 3,2013,PG-13,03 May 2013,130,Nominated for 1 Oscar. 20 wins & 63 nominations total,62,7.2,"819,088",tt1300854
482,Monsters University,2013,G,21 Jun 2013,104,Nominated for 2 BAFTA Film 9 wins & 58 nominations total,65,7.2,"346,199",tt1453405
483,The Lone Ranger,2013,PG-13,03 Jul 2013,150,Nominated for 2 Oscars. 5 wins & 20 nominations total,37,6.4,"230,396",tt1210819
484,The Fifth Estate,2013,R,18 Oct 2013,128,2 wins & 3 nominations,49,6.2,"40,667",tt1837703
485,Thor: The Dark World,2013,PG-13,08 Nov 2013,112,4 wins & 21 nominations,54,6.8,"649,810",tt1981115
486,Frozen,2013,PG,27 Nov 2013,102,Won 2 Oscars. 82 wins & 60 nominations total,75,7.5,"607,860",tt2294629
487,Delivery Man,2013,PG-13,22 Nov 2013,105,,44,6.3,"78,141",tt2387559
488,Saving Mr. Banks,2013,PG-13,20 Dec 2013,125,Nominated for 1 Oscar. 13 wins & 74 nominations total,65,7.5,"159,439",tt2140373
489,Need for Speed,2014,PG-13,14 Mar 2014,132,1 win & 5 nominations,39,6.4,"168,435",tt2369135
490,Muppets Most Wanted,2014,PG,21 Mar 2014,107,Nominated for 1 BAFTA Film Award3 wins & 11 nominations total,61,6.4,"33,904",tt2281587
491,Captain America: The Winter Soldier,2014,PG-13,04 Apr 2014,136,Nominated for 1 Oscar. 5 wins & 52 nominations total,70,7.7,"804,411",tt1843866
492,Bears,2014,G,18 Apr 2014,78,2 nominations,68,7.3,"6,748",tt2458776
493,Million Dollar Arm,2014,PG,16 May 2014,124,1 win & 2 nominations,56,7.0,"45,505",tt1647668
494,Maleficent,2014,PG,30 May 2014,97,Nominated for 1 Oscar. 12 wins & 43 nominations total,56,7.0,"366,653",tt1587310
495,Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121,Nominated for 2 Oscars. 52 wins & 102 nominations total,76,8.1,"1,131,146",tt2015381
496,The Hundred-Foot Journey,2014,PG,08 Aug 2014,122,2 wins & 4 nominations,55,7.3,"81,224",tt2980648
497,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,10 Oct 2014,81,1 win & 8 nominations,54,6.2,"43,495",tt1698641
498,Big Hero 6,2014,PG,07 Nov 2014,102,Won 1 Oscar. 17 wins & 58 nominations total,74,7.8,"444,512",tt2245084
499,Into the Woods,2014,PG,25 Dec 2014,125,Nominated for 3 Oscars. 10 wins & 74 nominations total,69,5.9,"138,767",tt2180411
500,Strange Magic,2015,PG,23 Jan 2015,99,1 win & 4 nominations,25,5.8,"10,988",tt4191054
501,"McFarland, USA",2015,PG,20 Feb 2015,129,4 wins & 3 nominations,60,7.4,"38,100",tt2097298
502,Monkey Kingdom,2015,G,17 Apr 2015,81,2 wins & 1 nomination,72,7.3,"3,957",tt3660770
503,Avengers: Age of Ultron,2015,PG-13,01 May 2015,141,8 wins & 51 nominations,66,7.3,"823,277",tt2395427
504,Tomorrowland,2015,PG,22 May 2015,130,2 wins & 19 nominations,60,6.4,"179,774",tt1964418
505,Inside Out,2015,PG,19 Jun 2015,95,Won 1 Oscar. 100 wins & 116 nominations total,94,8.1,"677,013",tt2096673
506,Ant-Man,2015,PG-13,17 Jul 2015,117,Nominated for 1 BAFTA Film Award4 wins & 34 nominations total,64,7.3,"635,594",tt0478970
507,Bridge of Spies,2015,PG-13,16 Oct 2015,142,Won 1 Oscar. 30 wins & 103 nominations total,81,7.6,"304,289",tt3682448
508,The Good Dinosaur,2015,PG,25 Nov 2015,93,9 wins & 41 nominations,66,6.7,"111,167",tt1979388
509,The Finest Hours,2016,PG-13,29 Jan 2016,117,2 wins,58,6.8,"65,428",tt2025690
510,Zootopia,2016,PG,04 Mar 2016,108,Won 1 Oscar. 47 wins & 72 nominations total,78,8.0,"477,250",tt2948356
511,A Beautiful Planet,2016,G,29 Apr 2016,46,1 win & 1 nomination,75,7.3,"1,367",tt2800050
512,Captain America: Civil War,2016,PG-13,06 May 2016,147,16 wins & 73 nominations,75,7.8,"745,441",tt3498820
513,Alice Through the Looking Glass,2016,PG,27 May 2016,113,4 wins & 20 nominations,34,6.2,"103,895",tt2567026
514,Finding Dory,2016,PG,17 Jun 2016,97,Nominated for 1 BAFTA Film Award17 wins & 46 nominations total,77,7.3,"263,464",tt2277860
515,The BFG,2016,PG,01 Jul 2016,117,Nominated for 1 BAFTA Film Award4 wins & 26 nominations total,66,6.4,"83,868",tt3691740
516,Pete's Dragon,2016,PG,12 Aug 2016,102,3 wins & 7 nominations,71,6.7,"57,521",tt2788732
517,The Light Between Oceans,2016,PG-13,02 Sep 2016,133,1 win & 16 nominations,60,7.2,"55,855",tt2547584
518,Queen of Katwe,2016,PG,30 Sep 2016,124,3 wins & 26 nominations,73,7.4,"17,080",tt4341582
519,Doctor Strange,2016,PG-13,04 Nov 2016,115,Nominated for 1 Oscar. 20 wins & 68 nominations total,72,7.5,"685,849",tt1211837
520,Moana,2016,PG,23 Nov 2016,107,Nominated for 2 Oscars. 21 wins & 90 nominations total,81,7.6,"315,408",tt3521164
521,Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133,Nominated for 2 Oscars. 24 wins & 85 nominations total,65,7.8,"597,163",tt3748528
