Unnamed: 0,Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
305,Keeping the Faith,2000,PG-13,14 Apr 2000,128,2 wins & 6 nominations,60,6.4,"51,561",tt0171433
306,Dinosaur,2000,PG,19 May 2000,82,4 wins & 21 nominations,56,6.5,"58,689",tt0130623
307,Shanghai Noon,2000,PG-13,26 May 2000,110,1 win & 7 nominations,77,6.6,"125,162",tt0184894
308,Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118,9 wins & 6 nominations,35,6.5,"273,455",tt0187078
309,The Kid,2000,PG,07 Jul 2000,104,1 win & 3 nominations,45,6.1,"41,797",tt0219854
310,Coyote Ugly,2000,PG-13,04 Aug 2000,100,4 wins & 8 nominations,27,5.7,"112,461",tt0200550
311,The Crew,2000,PG-13,25 Aug 2000,88,1 win,37,5.6,"5,944",tt0198386
312,Duets,2000,R,15 Sep 2000,112,1 nomination,40,6.1,"9,550",tt0134630
313,Remember the Titans,2000,PG,29 Sep 2000,113,8 wins & 18 nominations,48,7.8,"209,458",tt0210945
314,Unbreakable,2000,PG-13,22 Nov 2000,106,2 wins & 15 nominations,62,7.3,"408,168",tt0217869
315,102 Dalmatians,2000,G,22 Nov 2000,100,Nominated for 1 Oscar. 1 win & 8 nominations total,35,4.9,"37,045",tt0211181
316,The Emperor's New Groove,2000,G,15 Dec 2000,78,Nominated for 1 Oscar. 7 wins & 27 nominations total,70,7.4,"195,606",tt0120917
317,"O Brother, Where Art Thou?",2000,PG-13,02 Feb 2001,107,Nominated for 2 Oscars. 8 wins & 39 nominations total,69,7.7,"304,170",tt0190590
318,Double Take,2001,PG-13,12 Jan 2001,88,,25,5.4,"8,387",tt0238948
319,Recess: School's Out,2001,G,16 Feb 2001,82,,43,6.6,"10,428",tt0265632
320,Just Visiting,2001,PG-13,06 Apr 2001,88,,38,5.8,"19,049",tt0189192
321,Pearl Harbor,2001,PG-13,25 May 2001,183,Won 1 Oscar. 14 wins & 51 nominations total,44,6.2,"325,553",tt0213149
322,Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95,2 wins & 14 nominations,52,6.9,"114,483",tt0230011
323,Crazy/Beautiful,2001,PG-13,29 Jun 2001,99,5 nominations,61,6.5,"24,684",tt0250224
324,The Princess Diaries,2001,G,03 Aug 2001,115,3 wins & 11 nominations,52,6.4,"139,359",tt0247638
325,Bubble Boy,2001,PG-13,24 Aug 2001,84,1 nomination,41,5.7,"32,962",tt0258470
326,Max Keeble's Big Move,2001,PG,05 Oct 2001,86,1 win & 1 nomination,40,5.4,"8,032",tt0273799
327,Corky Romano,2001,PG-13,12 Oct 2001,86,1 nomination,20,4.7,"13,077",tt0250310
328,High Heels and Low Lifes,2001,R,26 Oct 2001,86,1 nomination,39,6.2,"3,542",tt0253126
329,"Monsters, Inc.",2001,G,02 Nov 2001,92,Won 1 Oscar. 15 wins & 38 nominations total,79,8.1,"875,550",tt0198781
330,Out Cold,2001,PG-13,21 Nov 2001,89,,22,6.3,"17,466",tt0253798
331,The Royal Tenenbaums,2001,R,04 Jan 2002,110,Nominated for 1 Oscar. 11 wins & 46 nominations total,76,7.6,"284,638",tt0265666
332,"Frank McKlusky, C.I.",2002,PG-13,27 Jun 2002,83,,-1,4.1,"1,388",tt0281865
333,Snow Dogs,2002,PG,18 Jan 2002,99,1 win,29,5.2,"26,765",tt0281373
334,The Count of Monte Cristo,2002,PG-13,25 Jan 2002,131,,61,7.8,"135,482",tt0245844
335,Reign of Fire,2002,PG-13,12 Jul 2002,101,1 win & 3 nominations,39,6.2,"133,690",tt0253556
336,Sorority Boys,2002,R,22 Mar 2002,93,1 win & 1 nomination,25,5.5,"15,548",tt0279781
337,The Rookie,2002,G,29 Mar 2002,127,5 wins & 4 nominations,72,6.9,"34,359",tt0265662
338,Big Trouble,2002,PG-13,05 Apr 2002,85,,47,6.5,"20,553",tt0246464
339,Lilo & Stitch,2002,PG,21 Jun 2002,85,Nominated for 1 Oscar. 11 wins & 27 nominations total,73,7.3,"182,545",tt0275847
340,The Country Bears,2002,G,26 Jul 2002,88,4 nominations,37,4.2,"5,526",tt0276033
341,Signs,2002,PG-13,02 Aug 2002,106,3 wins & 34 nominations,59,6.7,"354,195",tt0286106
342,Sweet Home Alabama,2002,PG-13,27 Sep 2002,108,3 wins & 6 nominations,45,6.2,"110,647",tt0256415
343,Moonlight Mile,2002,PG-13,04 Oct 2002,117,1 win & 6 nominations,59,6.6,"14,051",tt0179098
344,Tuck Everlasting,2002,PG,11 Oct 2002,90,1 win & 3 nominations,66,6.6,"23,596",tt0283084
