Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Raising Helen,2004,PG-13,28 May 2004,119,1 nomination,38.0,6.0,"36,755",tt0350028
Ralph Breaks the Internet,2018,PG,21 Nov 2018,112,Nominated for 1 Oscar. 3 wins & 67 nominations total,71.0,7.0,"152,739",tt5848272
Real Steel,2011,PG-13,07 Oct 2011,127,Nominated for 1 Oscar. 2 wins & 6 nominations total,56.0,7.1,"319,398",tt0433035
Reign of Fire,2002,PG-13,12 Jul 2002,101,1 win & 3 nominations,39.0,6.2,"133,690",tt0253556
Return to Oz,1985,PG,21 Jun 1985,113,Nominated for 1 Oscar. 6 nominations total,42.0,6.8,"26,772",tt0089908
Return to Snowy River,1988,PG,15 Apr 1988,99,2 nominations,-1.0,6.6,"2,513",tt0095993
Romy and Michele's High School Reunion,1997,R,25 Apr 1997,92,4 nominations,59.0,6.3,"46,106",tt0120032
Roving Mars,2006,G,27 Jan 2006,40,1 win & 1 nomination,58.0,7.3,"1,050",tt0436595
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,03 Sep 2021,132,Nominated for 1 Oscar. 17 wins & 52 nominations total,71.0,7.5,"334,590",tt9376612
Sister Act,1992,PG,29 May 1992,100,9 wins & 10 nominations,51.0,6.5,"96,406",tt0105417
Sky High,2005,PG,29 Jul 2005,100,1 nomination,62.0,6.2,"85,010",tt0405325
Sleeping Beauty,1959,G,29 Jan 1959,75,Nominated for 1 Oscar. 4 wins & 6 nominations total,85.0,7.3,"145,172",tt0053285
Snow Dogs,2002,PG,18 Jan 2002,99,1 win,29.0,5.2,"26,765",tt0281373
Solo: A Star Wars Story,2018,PG-13,25 May 2018,135,Nominated for 1 Oscar. 6 wins & 26 nominations total,62.0,6.9,"327,675",tt3778644
Sorority Boys,2002,R,22 Mar 2002,93,1 win & 1 nomination,25.0,5.4,"15,580",tt0279781
Spaced Invaders,1990,PG,27 Apr 1990,100,NA,38.0,5.3,"3,555",tt0100666
Spy Hard,1996,PG-13,24 May 1996,81,NA,25.0,5.4,"37,691",tt0117723
Squanto: A Warrior's Tale,1994,PG,28 Oct 1994,102,NA,-1.0,6.1,"1,248",tt0111271
Star Wars: Episode VII - The Force Awakens,2015,PG-13,18 Dec 2015,138,Nominated for 5 Oscars. 62 wins & 138 nominations total,80.0,7.9,"904,569",tt2488496
Live from the Red Carpet of Star Wars: The Rise of Skywalker,2019,NA,16 Dec 2019,126,NA,-1.0,-1.0,-1,tt11464830
Step Up 2: The Streets,2008,PG-13,14 Feb 2008,98,2 wins & 3 nominations,50.0,6.2,"86,580",tt1023481
Stick It,2006,PG-13,28 Apr 2006,103,NA,53.0,6.4,"28,682",tt0430634
Strange Magic,2015,PG,23 Jan 2015,99,1 win & 4 nominations,25.0,5.8,"10,988",tt4191054
Surrogates,2009,PG-13,25 Sep 2009,89,NA,45.0,6.3,"173,856",tt0986263
Sweet Home Alabama,2002,PG-13,27 Sep 2002,108,3 wins & 6 nominations,45.0,6.2,"110,647",tt0256415
Swing Vote,2008,PG-13,01 Aug 2008,120,1 nomination,47.0,6.1,"18,543",tt1027862
Tall Tale,1995,PG,24 Mar 1995,96,NA,-1.0,5.9,"3,783",tt0111359
Tangled,2010,PG,24 Nov 2010,100,Nominated for 1 Oscar. 10 wins & 41 nominations total,71.0,7.8,"437,174",tt0398286
Tarzan,1999,G,18 Jun 1999,88,Won 1 Oscar. 11 wins & 23 nominations total,79.0,7.3,"219,336",tt0120855
That Darn Cat,1997,PG,14 Feb 1997,89,2 nominations,36.0,4.7,"4,399",tt0120317
The Absent Minded Professor,1961,Approved,16 Mar 1961,92,Nominated for 3 Oscars. 1 win & 8 nominations total,75.0,6.8,"8,176",tt0054594
The Air Up There,1994,PG,07 Jan 1994,107,NA,-1.0,5.5,"8,930",tt0109067
The Associate,1996,PG-13,25 Oct 1996,114,NA,-1.0,6.1,"8,118",tt0115580
The Avengers,2012,PG-13,04 May 2012,143,Nominated for 1 Oscar. 38 wins & 80 nominations total,69.0,8.1,"1,345,654",tt0848228
The BFG,2016,PG,01 Jul 2016,117,Nominated for 1 BAFTA Film Award4 wins & 26 nominations total,66.0,6.4,"84,252",tt3691740
The Chronicles of Narnia: Prince Caspian,2008,PG,16 May 2008,150,4 wins & 21 nominations,62.0,6.5,"206,153",tt0499448
The Count of Monte Cristo,2002,PG-13,25 Jan 2002,131,NA,61.0,7.7,"135,888",tt0245844
The Country Bears,2002,G,26 Jul 2002,88,4 nominations,37.0,4.2,"5,526",tt0276033
The Doctor,1991,PG-13,16 Aug 1991,122,3 nominations,-1.0,7.0,"5,473",tt0101746
The Game Plan,2007,PG,28 Sep 2007,110,3 nominations,44.0,6.2,"63,659",tt0492956
The Good Dinosaur,2015,PG,25 Nov 2015,93,9 wins & 41 nominations,66.0,6.7,"112,098",tt1979388
The Good Mother,1988,R,04 Nov 1988,103,NA,-1.0,5.7,"1,681",tt0095238
The Greatest Game Ever Played,2005,PG,30 Sep 2005,120,3 nominations,55.0,7.4,"30,196",tt0388980
The Guardian,2006,PG-13,29 Sep 2006,139,1 win & 4 nominations,53.0,6.9,"91,460",tt0406816
The Hand that Rocks the Cradle,1992,R,10 Jan 1992,110,6 wins & 6 nominations,64.0,6.7,"42,637",tt0104389
The Hitchhiker's Guide to the Galaxy,2005,PG,29 Apr 2005,109,1 win & 10 nominations,63.0,6.7,"195,027",tt0371724
The Horse Whisperer,1998,PG-13,15 May 1998,169,Nominated for 1 Oscar. 4 wins & 19 nominations total,65.0,6.7,"40,853",tt0119314
The Hot Chick,2002,PG-13,13 Dec 2002,104,4 nominations,29.0,5.5,"94,355",tt0302640
The Hunchback of Notre Dame,1996,G,21 Jun 1996,91,Nominated for 1 Oscar. 8 wins & 26 nominations total,74.0,7.0,"152,797",tt0116583
The Hundred-Foot Journey,2014,PG,08 Aug 2014,122,2 wins & 4 nominations,55.0,7.3,"81,224",tt2980648
The Incredibles,2004,PG,05 Nov 2004,115,Won 2 Oscars. 67 wins & 56 nominations total,90.0,8.0,"702,543",tt0317705
The Inkwell,1994,R,22 Apr 1994,110,NA,-1.0,6.4,"1,434",tt0110137
The Insider,1999,R,05 Nov 1999,157,Nominated for 7 Oscars. 23 wins & 58 nominations total,84.0,7.8,"168,516",tt0140352
The Invisible,2007,PG-13,27 Apr 2007,102,1 nomination,36.0,6.2,"35,466",tt0435670
The Jerky Boys,1995,R,03 Feb 1995,82,NA,-1.0,4.7,"2,607",tt0110189
The Joy Luck Club,1993,R,29 Oct 1993,139,Nominated for 1 BAFTA Film Award4 wins & 5 nominations total,84.0,7.7,"16,352",tt0107282
The Jungle Book,1967,G,18 Oct 1967,78,Nominated for 1 Oscar. 6 wins & 3 nominations total,65.0,7.6,"177,616",tt0061852
The Kid,2000,PG,07 Jul 2000,104,1 win & 3 nominations,45.0,6.1,"41,890",tt0219854
The Ladykillers,2004,R,26 Mar 2004,104,6 wins & 4 nominations,56.0,6.2,"103,700",tt0335245
The Last Flight of Noah's Ark,1980,G,25 Jun 1980,97,4 nominations,-1.0,5.8,"1,382",tt0081031
The Last Shot,2004,R,05 Nov 2004,93,NA,47.0,5.7,"4,251",tt0357054
The Last Song,2010,PG,31 Mar 2010,107,4 wins & 10 nominations,33.0,6.0,"86,415",tt1294226
The Life Aquatic with Steve Zissou,2004,R,25 Dec 2004,119,3 wins & 10 nominations,62.0,7.3,"193,208",tt0362270
The Light Between Oceans,2016,PG-13,02 Sep 2016,133,1 win & 16 nominations,60.0,7.2,"55,855",tt2547584
The Lion King,1994,G,24 Jun 1994,88,Won 2 Oscars. 39 wins & 35 nominations total,88.0,8.5,"1,014,686",tt0110357
The Little Mermaid,1989,G,17 Nov 1989,83,Won 2 Oscars. 14 wins & 8 nominations total,88.0,7.6,"254,101",tt0097757
The Lizzie McGuire Movie,2003,PG,02 May 2003,94,2 wins & 3 nominations,56.0,5.5,"39,048",tt0306841
The Lone Ranger,2013,PG-13,03 Jul 2013,150,Nominated for 2 Oscars. 5 wins & 20 nominations total,37.0,6.4,"230,396",tt1210819
The Lookout,2007,R,30 Mar 2007,99,1 win & 11 nominations,73.0,7.0,"58,444",tt0427470
The Marrying Man,1991,R,05 Apr 1991,115,1 nomination,-1.0,5.7,"5,628",tt0102411
The Mighty Ducks,1992,PG,02 Oct 1992,104,2 nominations,46.0,6.5,"65,112",tt0104868
The Muppet Christmas Carol,1992,G,11 Dec 1992,85,2 wins & 1 nomination,64.0,7.7,"57,270",tt0104940
The Muppets,2011,PG,23 Nov 2011,103,Won 1 Oscar. 17 wins & 43 nominations total,75.0,7.1,"91,187",tt1204342
