Character,Original voice actor,Animated debut
Camilia the Chicken,Melanie Harrison,Muppet Babies
Camilo Madrigal,Rhenzy Feliz,Encanto
Candace Flynn,Ashley Tisdale,Phineas and Ferb
Candlehead,Katie Lowes,Wreck-It Ralph
The Captain,Thurl Ravenscroft[18],101 Dalmatians
Captain Amelia,Emma Thompson[28],Treasure Planet
Captain Bufo,Daisuke Tsuji,Amphibia
Captain Grime,Troy Baker,Amphibia
Captain Hook,Hans Conried[43],Peter Pan
Captain John Smith,Mel Gibson[35],Pocahontas
Captain Phoebus,Kevin Kline[4],The Hunchback of Notre Dame
Carl the Robot,Harland Williams[38],Meet the Robinsons
Carlos the Frog,Todrick Hall,Muppet Babies
Carlotta the Maid,Edie McClurg[5],The Little Mermaid
The Carpenter,J. Pat O'Malley[14],Alice in Wonderland
Casey Junior,Margaret Wright[44],Dumbo
Cass Hamada,Maya Rudolph[34],Big Hero 6
Cassandra/Cass,Eden Espinosa,Rapunzel's Tangled Adventure
The Caterpillar,Richard Haydn[14],Alice in Wonderland
Catty the Elephant,Noreen Gammill[44],Dumbo
Cedric the Sorcerer,Jess Harnell,Sofia the First
Chaca,Kellyann Kelso[41],The Emperor's New Groove
Chair Mouse,Bernard Fox[36],The Rescuers
Chainsaw,Frank Welker,Goof Troop
Charlene Fiona Sinclair,Sally Struthers,Dinosaurs
Charlotte La Bouff,Jennifer Cody[42],The Princess and the Frog
Cheetata and Cheetato,Rob PaulsenJim Cummings,Timon and Pumbaa
Chef Bouche,Brian Cummings[23],Beauty and the Beast
Chef Louis,René Auberjonois[5],The Little Mermaid
Chernabog,Corey Burton,Fantasia
Cheshire Cat,Sterling Holloway[14],Alice in Wonderland
Chi-Fu,James Hong[45],Mulan
Chicha,Wendie Malick[41],The Emperor's New Groove
Chicken Little,Zach Braff[1],Chicken Little
Chief,Pat Buttram[15],The Fox and the Hound
Chief Benja,Daniel Dae Kim,Raya and the Last Dragon
Chief Bogo,Idris Elba,Zootopia
Chief Powhatan,Russell Means[35],Pocahontas
Chien-Po,Jerry Tondo[45],Mulan
Chip,James MacDonald,Private Pluto
Chip Whistler,Paul Scheer,Big City Greens
Chip Potts,Bradley Michael Pierce[23],Beauty and the Beast
Christopher Robin,Bruce Reitherman[46],Winnie the Pooh and the Honey Tree
Chuck,Matt Braly,Amphibia
Cinderella,Ilene Woods[16],Cinderella
Circus Animals,None,Dumbo
Clank,Jeff Bennett,Disney Fairies
Clara Cluck,Florence Gill,Orphan's Benefit
Clarabelle Cow,Marcellite Garner,Plane Crazy
"Clarence Francis ""Kick"" Buttowski",Charlie Schlatter,Kick Buttowski: Suburban Daredevil
Clayton,Brian Blessed[21],Tarzan
Cleo,Jodi Benson[37],Pinocchio
Clio,Vanéese Y. Thomas[13],Hercules
Cloak and Dagger,None,The Little Mermaid II: Return to the Sea
Clopin Trouillefou,Paul Kandel[4],The Hunchback of Notre Dame
Clotho,Amanda Plummer[13],Hercules
Clover,Wayne Brady,Sofia the First
The Coachman,Charles Judels[37],Pinocchio
Cobra Bubbles,Ving Rhames[7],Lilo & Stitch
Codfish,Bob Holt,Bedknobs and Broomsticks
Cody,Adam Ryen[47],The Rescuers Down Under
Cogsworth,David Ogden Stiers[23],Beauty and the Beast
Colette,Kath Soucie[19],Lady and the Tramp II: Scamp's Adventure
The Colonel,J. Pat O'Malley[18],101 Dalmatians
Colonel Hathi,J. Pat O'Malley[8],The Jungle Book
Commander Lyle Rourke,James Garner[25],Atlantis: The Lost Empire
Commander Peepers,Tom Kenny,Wander Over Yonder
Cookie,Jim Varney[25],Atlantis: The Lost Empire
Copper,Corey Feldman[15]Kurt Russell[15],The Fox and the Hound
Cornelius Robinson,Tom Selleck[38],Meet the Robinsons
Cousin Randy,Randy Newman[42],The Princess and the Frog
Crane,Jeff Bennett,Belle's Magical World
Creeper,Phil Fondacaro[48],The Black Cauldron
