Character,Original voice actor,Animated debut
Spike,Christopher Meloni,Dinosaurs
Spot,Tara Strong,101 Dalmatians: The Series
Spot Helperman/Scott Leadready II,Nathan Lane,Teacher's Pet
Sprig Plantar,Justin Felbinger,Amphibia
Spring Sprite,Helena Bonham Carter,Fantasia 2000
Squeaks the Caterpillar,None,The Fox and the Hound
Stabbington brothers,Ron Perlman[56],Tangled
Star Butterfly,Eden Sher,Star vs. the Forces of Evil
Statler and Waldorf,Eric BauzaMatt Danner,Muppet Babies
Steelbeak,Rob Paulsen,Darkwing Duck
Stitch,Chris Sanders[7],Lilo & Stitch
Stromboli,Charles Judels[37],Pinocchio
Stu Hopps,Don Lake,Zootopia
Stumpy,John DiMaggio,Amphibia
The Sultan,Douglas Seale[3],Aladdin
Sultan the Footstool,Frank Welker[23],Beauty and the Beast
Summer the Penugin,Jessica DiCicco,Muppet Babies
Suri,Hayden Panettiere[10],Dinosaur
Sven,None,Frozen
Swedish Chef,Matt Danner,Muppet Babies
Sweetums,Dee Bradley Baker,Muppet Babies
"Swizzle ""The Swizz"" Malarkey",None,Wreck-It Ralph
Sykes,Robert Loggia[53],Oliver & Company
Sylvia,April Winchell,Wander Over Yonder
Sylvia Marpole,Bebe Neuwirth,An Extremely Goofy Movie
Sylvia Sundew,Mona Marshall,Amphibia
Tadashi Hamada,Daniel Henney,Big Hero 6
Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph
Tagalong Bunny,Dori Whittaker[12],Robin Hood
Tamatoa,Jemaine Clement,Moana
Tanana,Joan Copeland[52],Brother Bear
Tank,Brad Garrett,An Extremely Goofy Movie
Tank Muddlefoot,Dana Hill,Darkwing Duck
Tantor,Wayne Knight[21],Tarzan
Tantor's Mother,Patti Deutsch[21],Tarzan
Taran,Grant Bardsley[48],The Black Cauldron
Tarzan,Tony Goldwyn[21],Tarzan
Tarzan,Alex D. Linz[21],Tarzan
Taurus Bulba,Tim Curry,Darkwing Duck
Te Fiti,,Moana
Te Kā,,Moana
Ted Betterhead,Diedrich Bader,The Country Bears
Terence,Jesse McCartney,Disney Fairies
Terk,Rosie O'Donnell[21],Tarzan
Terpsichore,LaChanze[13],Hercules
Terri,Kate Micucci,Amphibia
Thalia,Roz Ryan[13],Hercules
Thomas,Christian Bale[35],Pocahontas
Thomas O'Malley,Phil Harris[2],The Aristocats
Thug,Randy Savage[6],Bolt
Thumper,Peter Behn[30]Sam Edwards[30],Bambi
Thumper's Mother,Margaret Lee[30],Bambi
Thunderbolt,Barry Rostwick,101 Dalmatians II: Patch's London Adventure
Tiana,Anika Noni Rose[42],The Princess and the Frog
"Tibblet-Tibblie ""Tibbles"" Grimmhammer III",Parvesh Cheena,The Owl House
Tiger Lily,Corinne Orr,Peter Pan
Tigger,Paul Winchell[46],Winnie the Pooh and the Blustery Day
Tillie Tiger,Alyce Ardell[58],Silly Symphonies
Tilly Green,Marieve Herington,Big City Greens
Timon,Nathan Lane[31],The Lion King
Timothy Q. Mouse,Edward Brophy[44],Dumbo
Tina,Catherine O'Hara[1],Chicken Little
Tinker Bell,Mae Whitman,Peter Pan
Tino Tonitini,Jason Marsden,The Weekenders
Tiny,Joe Mateo[38],Meet the Robinsons
Tiny Nose,Dana Terrace,The Owl House
Tip,Max Casella,The Little Mermaid II: Return to the Sea
Tipo,Eli Russell Linnetz[41],The Emperor's New Groove
Tito,Cheech Marin[53],Oliver & Company
Toadie,Jack McBrayer,Amphibia
Tobias the Reluctant Dragon,Barnett Parker[67],The Reluctant Dragon
Toby the Dog,Frank Welker[32],The Great Mouse Detective
Toby Tortoise,Eddie Holden[63],The Tortoise and the Hare
Toby Turtle,Richie Sanders,Robin Hood
Tod,Keith Coogan[15]Mickey Rooney[15],The Fox and the Hound
Toffee,Michael C. Hall,Star vs. the Forces of Evil
Tom,Fred Tatasciore,The Owl House
Tom Lucitor,Rider Strong,Star vs. the Forces of Evil
Tong,Benedict Wong,Raya and the Last Dragon
Tootles,None,Peter Pan
Toots,Frank Welker,Bonkers
Toulouse,Gary Dubin[2],The Aristocats
Tramp,Larry Roberts[26],Lady and the Tramp
Travis,Mick Wingert,The Princess and the Frog
Trigger the Vulture,George Lindsey[12],Robin Hood
Trusty,Bill Baucom[26],Lady and the Tramp
Tug,Michael Clarke Duncan[52],Brother Bear
Tui,Temuera Morrison,Moana
Tuk Tuk,Alan Tudyk,Raya and the Last Dragon
Turkey Lurkey,Don Knotts[1],Chicken Little
Tuskernini,Kenneth Mars,Darkwing Duck
Tuti,April Winchell,Amphibia
Tweedledum and Tweedledee,J. Pat O'Malley[14],Alice in Wonderland
Two Fingers,Paul Briggs[42],The Princess and the Frog
Uncle Art,Adam West[38],Meet the Robinsons
Uncle Waldo,Bill Thompson[2],The Aristocats
Url,None,Dinosaur
Ursula,Pat Carroll[5],The Little Mermaid
Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph
Vanessa (The Little Mermaid),"Pat Carroll,[5]Jodi Benson",The Little Mermaid
Varian,Jeremy Jordan,Rapunzel's Tangled Adventure
Vazquez,Danny Trejo,Big City Greens
Veteran Cat,Diedrich Bader[6],Bolt
Victor,Charles Kimbrough[4],The Hunchback of Notre Dame
Vidia,Pamela Adlon,Disney Fairies
"Vincenzo ""Vinny"" Santorini",Don Novello[25],Atlantis: The Lost Empire
Virana,Sandra Oh,Raya and the Last Dragon
Vixey,Sandy Duncan[15],The Fox and the Hound
Vladimir Goudenov Grizzlikof,Ron Feinberg,Darkwing Duck
Vanessa Doofenshmirtz,Olivia Olson,Phineas and Ferb
Waddles,Dee Bradley Baker,Gravity Falls
Waffles,Frank Welker,Goof Troop
Wahn,François Chau,Raya and the Last Dragon
"Walliam ""One-Eyed Wally"" Ribbiton",James Patrick Stuart,Amphibia
The Walrus,J. Pat O'Malley[14],Alice in Wonderland
Wander,Jack McBrayer,Wander Over Yonder
Warden Wrath,Roger Craig Smith,The Owl House
Wasabi,Damon Wayans Jr.[34],Big Hero 6
Webby Vanderquack,Russi Taylor,DuckTales
Wendy Corduroy,Linda Cardellini,Gravity Falls
Wendy Darling,Kathryn Beaumont[43]Kath Soucie,Peter PanReturn to Never Land
Wesley,Steve Buscemi[11],Home on the Range
White Rabbit,Bill Thompson[14],Alice in Wonderland
Widow Tweed,Jeanette Nolan[15],The Fox and the Hound
Wiggins,David Ogden Stiers[35],Pocahontas
Wilbur,John Candy[47],The Rescuers Down Under
Wilbur Robinson,Wesley Singerman[38],Meet the Robinsons
Wilhelmina Packard,Florence Stanley[25],Atlantis: The Lost Empire
Willie the Giant,Billy Gilbert[68],Fun and Fancy Free
Willow Park,Tati Gabrielle,The Owl House
Winifred the Elephant,Verna Felton[8],The Jungle Book
Winkie the Barman,Oliver Wallace[17],The Adventures of Ichabod and Mr. Toad
Winnie the Pooh,Sterling Holloway[46]Jim Cummings,Winnie the Pooh and the Honey TreeWinnie the Pooh franchise
Winston,William Glover[53],Oliver & Company
Witherspoon,None,Belle's Magical World
Woolter the Ram,John DiMaggio,Zootopia
Wormwood the Raven,Jim Cummings,Sofia the First
Wreck-It Ralph,John C. Reilly,Wreck-It Ralph
Wynchel,Adam Carolla,Wreck-It Ralph
XR,Larry Miller,Buzz Lightyear of Star Command (TV series)
Yao,Harvey Fierstein[45],Mulan
Yar,Ossie Davis[10],Dinosaur
Yax,Tommy Chong,Zootopia
Yen Sid,Corey Burton,Fantasia
Yesss,Taraji P. Henson,Ralph Breaks the Internet
Yo-Yo,None,Fantasia 2000
Yzma,Eartha Kitt[41],The Emperor's New Groove
Zarina,Christina Hendricks,The Pirate Fairy
Zazu,Rowan Atkinson,The Lion King
Zuzu,,The Lion King
Zero,Frank Welker,The Nightmare Before Christmas
Zeus,Rip Torn[13],Hercules
Ziggy the Vulture,Digby Wolfe[8],The Jungle Book
Zini,Max Casella[10],Dinosaur
Zipper,Corey Burton,Chip 'n Dale Rescue Rangers
